तैालीहिा,taulihawa,
गोरुभसङ्गे,gorusinghe,
गोरुभसङे,gorusinghe,
पत्थरकोट,patharkot,
भसन्धलुी,bhasandhuli,
मननपुर,mananpur,
३९३,,
िारदह,,
सखु खपरु,,
सम्सी,samshi,
तल्ुसीपरु,,
िन्द्रननगाहपुर,,
तौलीहिा,,
िद्रपरु ,,
लक्ष्मीपुर,,
िागमारा,,
१००,,
sf7df8f}+,,
w'lnv]n,,
v'sf]{6,,
l,Gw'nL,
alb{jf,,
wgs'6f,,
sf7df8f}+, gofF j,kfs{
l,Gw'nLdf9L,
w/fg,,
/fd]5fk,,
dGynL,,
rl/sf]6,,
 tfdfsf]zL-lh/L,–िद्रपुर,
 tfdfsf]zL,,
r/Lsf]6,,
jlb{jf,,
g]kfnyf]s,,
es'08]j]zL,,
es'08]j],L,
sf7df8f}+ -sf]6]Zj/_ ,,
लमही,,
१५६.१८,,
गुलेररया,,
सनुौली,,
भसरहा,,
लुम्िीनी,,
खुनुिा,,
भसतापाईला िोक,,
जजिनफेदी,,
सााँफेिगर,,
३०५,,
24.27,,
23.33,,
22.39,,
20.53,,
18.66,,
16.79,,
15.86,,
14.94,,
13.07,,
bds,,
eb|k'/,,
?6,,
